Time,Metamon,Kiss_Land,New_Harvard_N_Land,MUSK_USM_Land
07/01/2022 04:43:20,347300,365111,720000,1110000
07/01/2022 04:44:47,347300,365111,720000,1110000
07/01/2022 04:46:13,347300,365111,720000,1110000
07/01/2022 04:48:22,347300,365111,720000,1110000
07/01/2022 04:49:49,347300,365111,720000,1110000
07/01/2022 04:51:13,347300,365111,720000,1110000
07/01/2022 04:53:24,347300,365111,720000,1110000
07/01/2022 04:54:51,347300,365111,720000,1110000
07/01/2022 04:56:13,347300,365111,720000,1110000
07/01/2022 04:58:26,347000,365111,720000,1110000
07/01/2022 04:59:53,347000,365111,720000,1110000
07/01/2022 05:01:13,347300,365111,720000,1110000
07/01/2022 05:03:28,347300,365111,720000,1110000
07/01/2022 05:04:55,347300,365110,720000,1110000
07/01/2022 05:06:13,347300,365110,720000,1110000
07/01/2022 05:08:30,347300,365110,720000,1110000
07/01/2022 05:09:57,347300,365110,720000,1110000
07/01/2022 05:11:13,347300,365110,720000,1110000
07/01/2022 05:13:32,347300,365110,729999,1110000
07/01/2022 05:14:59,347300,365110,729999,1110000
07/01/2022 05:16:13,347300,365110,729999,1110000
07/01/2022 05:18:34,347300,365110,729999,1110000
07/01/2022 05:20:01,347300,365110,729999,1110000
07/01/2022 05:21:13,347300,365110,729999,1110000
07/01/2022 05:23:36,347000,365110,729999,1110000
07/01/2022 05:25:03,347000,365110,729999,1110000
07/01/2022 05:26:13,347000,365110,729999,1110000
07/01/2022 05:28:38,347000,365110,729999,1110000
07/01/2022 05:30:05,347000,365110,729999,1110000
07/01/2022 05:31:13,347000,365110,729999,1110000
07/01/2022 05:33:40,347000,365110,729999,1110000
07/01/2022 05:35:07,347000,365110,729999,1110000
07/01/2022 05:36:13,347000,365110,729999,1110000
07/01/2022 05:38:42,347000,365110,729999,1110000
07/01/2022 05:40:09,347000,365110,729999,1110000
07/01/2022 05:41:13,347000,365110,729999,1110000
07/01/2022 05:43:44,347000,365110,729999,1110000
07/01/2022 05:45:11,347000,365110,729999,1110000
07/01/2022 05:46:13,347000,365110,729999,1110000
07/01/2022 05:48:46,344999,361111,729999,1110000
